cpu_usage,memory_usage,latency,error_rate,outage
26.8,51.16,127.24,2.89,0
39.98,66.83,130.19,1.43,0
53.48,46.21,117.67,1.7,0
33.79,51.6,155.4,3.35,0
120.99,83.93,2042.22,42.49,1
23.22,51.7,126.77,2.21,0
98.69,125.57,752.66,15.74,1
55.7,26.23,156.35,1.16,0
48.78,26.07,102.85,1.85,0
38.62,66.15,56.55,2.55,0
30.35,48.7,127.75,0.46,0
36.79,59.31,60.58,2.75,0
68.85,30.87,84.18,3.46,0
47.54,55.39,74.53,0.35,0
-14.67,44.14,60.47,1.83,0
21.12,66.51,183.8,0.15,0
24.16,34.66,109.9,0.67,0
15.0,7.44,202.4,1.98,0
36.85,83.57,124.7,2.94,0
11.69,61.07,160.42,0.2,0
17.34,79.82,103.27,0.67,0
19.65,25.91,138.15,3.27,0
32.47,68.06,188.95,2.51,0
42.6,86.39,77.5,2.11,0
46.76,65.52,137.01,2.2,0
12.79,71.24,187.3,1.16,0
48.08,70.09,169.55,3.25,0
41.89,21.79,72.83,1.17,0
38.74,63.36,126.03,3.15,0
50.19,51.34,73.83,1.1,0
48.67,49.53,164.52,1.61,0
58.03,65.74,107.5,1.82,0
50.42,64.78,125.03,1.92,0
38.29,38.56,92.72,2.88,0
25.67,73.65,155.45,1.36,0
14.17,41.87,116.58,1.3,0
61.21,19.35,97.26,1.92,0
64.0,50.59,185.17,3.31,0
93.49,76.5,1251.78,52.69,1
11.8,68.79,77.01,3.37,0
49.87,13.76,114.98,3.05,0
50.38,11.03,139.74,0.37,0
41.25,54.99,146.68,1.28,0
129.12,83.44,2006.32,14.29,1
50.5,46.32,159.53,-0.33,0
97.79,97.15,1217.99,26.69,1
34.01,67.43,137.0,2.62,0
25.57,65.44,110.61,2.57,0
65.34,84.86,1655.15,48.55,1
62.14,34.89,123.49,2.34,0
14.61,12.68,196.96,2.69,0
35.92,20.06,133.86,2.96,0
25.29,60.42,136.03,1.28,0
107.26,74.23,2046.35,39.19,1
2.85,16.91,124.72,-0.1,0
37.31,81.49,225.3,1.37,0
41.44,24.87,147.11,1.75,0
25.89,68.1,66.03,-0.09,0
26.82,45.11,127.79,1.7,0
47.23,80.16,169.15,1.51,0
52.54,75.71,33.55,1.91,0
31.31,65.82,115.99,2.4,0
47.3,52.16,153.16,0.69,0
36.48,39.22,67.64,1.59,0
25.62,70.97,75.11,0.01,0
81.26,64.77,138.91,2.99,0
70.34,65.13,122.64,-0.01,0
73.54,50.21,117.66,0.99,0
41.09,67.45,146.28,3.06,0
42.57,45.81,96.13,1.03,0
36.68,60.31,132.06,1.51,0
59.76,56.43,203.23,1.89,0
22.69,31.43,110.7,0.7,0
45.95,48.94,118.6,1.64,0
31.43,49.36,125.75,2.37,0
31.14,58.55,118.41,3.71,0
106.79,109.51,1830.87,36.66,1
39.2,41.42,126.56,2.48,0
53.33,72.0,149.34,1.84,0
31.88,46.77,155.44,2.67,0
29.41,88.03,122.06,1.79,0
45.07,24.16,84.28,0.93,0
47.52,64.21,100.85,1.49,0
70.36,110.5,1304.55,43.42,1
36.46,56.51,170.64,2.75,0
30.58,80.57,163.79,1.91,0
26.36,67.85,191.95,1.94,0
86.0,101.3,1715.41,23.59,1
39.77,62.88,70.74,2.02,0
42.45,22.81,170.04,2.34,0
42.77,54.35,220.63,2.33,0
23.24,78.89,45.67,2.74,0
56.4,36.12,72.99,2.01,0
46.78,5.92,110.19,2.97,0
58.37,76.6,115.99,1.09,0
65.01,37.58,116.75,1.59,0
14.9,66.77,109.35,1.78,0
29.16,72.61,125.62,2.81,0
20.9,90.58,189.58,1.05,1
39.59,60.57,84.3,3.69,0
100.59,82.32,865.42,27.37,1
47.4,77.02,140.36,4.03,0
58.16,34.43,200.09,2.5,0
49.74,39.67,100.68,-0.37,0
47.9,30.42,44.54,2.38,0
31.14,55.81,112.46,3.11,0
110.19,92.96,1172.67,46.57,1
35.23,62.05,52.45,1.97,0
53.11,97.76,1284.53,35.22,1
48.34,83.32,138.86,0.83,0
42.85,27.25,115.35,2.57,0
57.38,49.54,127.53,1.9,0
44.07,14.96,104.1,3.07,0
68.22,46.66,105.1,2.34,0
31.46,30.85,82.07,2.09,0
50.26,70.62,91.4,0.68,0
27.86,92.74,123.63,1.49,1
31.54,60.64,115.5,1.77,0
111.29,122.34,768.88,39.65,1
48.95,75.81,142.68,2.16,0
41.79,52.89,209.71,2.58,0
66.62,80.66,146.69,3.38,0
38.34,36.72,99.69,2.7,0
38.63,34.98,166.8,1.44,0
42.09,86.95,160.58,3.59,0
50.47,35.03,173.1,3.09,0
56.02,48.01,138.7,1.53,0
81.62,95.03,1263.32,48.35,1
25.48,22.78,139.74,1.43,0
32.77,61.62,97.66,2.43,0
21.54,63.4,120.72,2.97,0
48.59,79.02,110.45,1.83,0
41.83,60.96,113.13,1.56,0
6.92,56.33,130.16,3.59,0
39.46,38.41,156.19,1.48,0
55.02,57.78,108.17,2.07,0
77.86,81.45,1396.37,31.65,1
44.68,71.6,106.73,1.97,0
7.91,69.23,176.63,2.35,0
29.92,77.7,139.17,2.08,0
16.92,42.14,199.62,3.23,0
110.74,75.24,1334.81,32.74,1
66.89,12.27,173.96,2.09,0
47.75,42.12,149.5,0.65,0
27.66,21.25,67.95,4.9,0
82.34,76.13,122.58,0.34,0
46.86,42.27,89.55,4.15,0
35.05,39.47,106.33,0.07,0
13.86,42.9,118.61,2.83,0
46.51,42.86,140.1,3.08,0
44.97,63.51,142.06,2.71,0
19.91,40.24,162.83,-0.12,0
30.57,74.89,122.25,0.44,0
20.64,111.98,23.86,2.31,1
23.95,52.69,139.39,2.77,0
25.05,67.35,120.19,1.15,0
49.47,46.84,112.41,2.65,0
57.61,95.79,129.43,0.33,1
36.83,31.17,126.09,3.1,0
32.31,67.77,144.97,3.31,0
37.99,61.73,212.55,1.68,0
50.67,46.97,178.99,1.49,0
51.21,39.83,101.37,0.84,0
78.41,66.57,96.91,1.81,0
30.53,43.28,132.8,1.43,0
24.18,63.39,139.28,2.43,0
31.6,63.93,171.67,2.35,0
69.39,100.55,979.59,40.23,1
32.49,31.6,131.38,1.76,0
30.7,75.27,178.74,2.15,0
34.93,37.96,75.64,2.47,0
49.05,71.34,91.25,1.16,0
45.86,88.06,1246.87,43.14,1
41.63,45.71,97.59,2.76,0
17.74,64.16,152.75,2.15,0
26.24,41.64,114.18,3.43,0
70.23,22.49,46.88,2.18,0
38.23,36.11,185.12,3.88,0
50.67,48.89,135.98,3.12,0
47.66,39.15,155.56,1.63,0
47.27,43.08,100.28,1.87,0
95.98,105.59,2029.65,43.31,1
31.6,43.58,75.09,1.72,0
33.5,38.52,150.47,2.63,0
86.29,60.06,1070.45,31.76,1
34.59,60.84,128.02,1.59,0
75.63,66.86,920.77,34.2,0
34.43,30.26,182.13,1.8,0
7.52,77.43,202.88,4.41,0
82.67,59.99,1892.83,49.29,1
25.55,51.55,183.13,3.7,0
45.43,55.24,145.05,2.22,0
30.13,68.63,124.21,3.5,0
20.51,79.72,133.15,1.78,0
41.89,37.23,84.35,2.68,0
25.55,42.02,103.9,2.17,0
54.05,36.43,117.12,1.05,0
33.01,59.97,158.69,-0.13,0
29.4,28.78,138.41,-0.19,0
40.99,53.46,140.43,2.79,0
48.86,70.23,75.78,1.55,0
38.32,45.96,94.66,0.92,0
22.13,23.67,-15.75,1.85,0
34.01,26.83,92.2,1.59,0
44.09,68.64,165.6,0.97,0
44.53,26.05,53.88,2.1,0
45.69,54.65,122.94,3.56,0
52.63,55.22,203.96,0.62,0
42.61,-19.38,170.13,1.25,0
25.69,29.67,88.68,1.38,0
41.33,66.35,131.83,3.43,0
53.08,72.7,123.92,1.51,0
38.26,94.05,88.63,0.81,1
102.04,100.03,862.97,23.87,1
27.07,32.72,101.19,2.61,0
96.86,96.05,720.62,11.57,1
29.51,63.22,116.27,1.88,0
35.85,44.84,91.79,1.96,0
62.89,63.75,145.58,0.27,0
101.71,132.53,1307.28,41.05,1
46.22,55.97,163.39,1.89,0
38.75,68.42,142.9,1.99,0
46.69,44.9,140.5,1.82,0
86.27,71.51,875.42,20.85,1
30.93,43.72,65.24,0.91,0
46.04,40.75,136.46,1.4,0
46.25,40.66,179.69,3.35,0
50.28,50.95,178.22,1.8,0
65.11,34.2,160.67,3.85,0
64.45,19.85,155.58,2.98,0
49.55,53.33,141.77,1.33,0
40.24,96.9,113.39,2.69,1
47.77,64.65,76.25,2.16,0
52.12,61.34,102.49,3.85,0
53.05,74.4,211.67,2.06,0
32.72,50.09,147.15,1.93,0
49.79,73.3,66.96,1.87,0
38.35,67.22,148.79,2.22,0
48.69,29.99,96.41,3.89,0
68.5,34.06,104.24,1.28,0
47.66,69.16,159.38,2.87,0
111.73,96.84,1407.6,33.64,1
36.22,64.52,93.8,1.9,0
17.67,68.7,180.75,2.83,0
31.61,66.11,114.59,2.22,0
30.98,44.22,94.7,1.95,0
48.18,55.19,103.9,1.19,0
39.81,53.7,146.56,0.9,0
30.29,84.31,66.44,-0.31,0
45.96,38.7,84.69,4.09,0
44.87,31.9,151.99,1.58,0
42.86,61.01,123.39,2.43,0
40.53,44.03,108.56,2.28,0
27.18,46.93,136.99,1.17,0
44.12,43.94,120.16,2.22,0
16.84,19.33,90.02,0.39,0
52.5,44.97,107.02,2.83,0
23.07,53.86,111.33,0.95,0
45.96,14.07,59.85,2.7,0
63.7,51.47,93.03,1.35,0
33.69,70.08,89.1,2.69,0
101.13,91.75,1611.81,38.46,1
43.05,48.76,188.0,-0.7,0
43.01,68.62,139.78,2.6,0
38.93,68.14,45.39,2.56,0
32.67,44.24,92.67,2.19,0
41.21,77.34,167.77,1.05,0
52.82,52.73,194.35,2.06,0
59.72,83.43,197.19,1.23,0
47.4,56.87,96.51,2.09,0
47.66,59.33,179.32,2.14,0
72.77,32.09,124.3,2.3,0
41.23,68.79,111.4,2.56,0
24.44,60.09,115.85,2.45,0
28.25,49.96,143.29,1.58,0
99.7,88.41,1697.22,35.39,1
18.81,59.21,88.89,3.18,0
47.14,54.38,176.22,2.86,0
30.01,65.43,139.34,1.83,0
50.44,41.68,117.24,0.96,0
50.05,46.78,94.75,3.14,0
39.64,29.35,113.12,2.99,0
4.85,-0.09,116.98,3.23,0
41.45,53.73,88.8,1.62,0
45.03,58.24,19.69,1.16,0
29.53,43.32,161.92,3.72,0
25.66,15.82,116.92,1.97,0
59.06,68.61,174.4,3.59,0
32.88,39.9,93.29,1.26,0
34.84,10.86,95.14,1.92,0
51.16,32.36,130.88,1.99,0
24.42,14.84,93.34,3.25,0
24.19,40.64,71.58,1.73,0
24.9,93.15,155.81,1.34,1
21.19,64.55,155.37,1.34,0
-4.89,-6.73,101.22,2.78,0
32.2,86.8,126.76,3.64,0
32.12,59.17,108.58,2.17,0
31.36,52.94,134.99,2.67,0
36.29,32.48,125.27,1.83,0
40.46,67.25,76.58,0.24,0
46.2,56.81,138.61,2.82,0
18.48,32.14,113.99,0.7,0
28.1,26.8,122.63,1.01,0
32.49,95.87,91.17,0.79,1
22.03,29.69,129.4,1.47,0
53.33,68.5,107.36,1.97,0
38.02,85.54,77.49,0.97,0
51.44,33.9,193.67,1.34,0
49.51,64.36,162.35,1.84,0
40.65,39.33,144.08,2.46,0
43.92,66.36,74.31,1.57,0
19.7,72.03,177.25,0.45,0
35.55,58.43,162.44,1.89,0
20.35,53.81,147.05,1.47,0
93.34,111.78,1957.19,45.25,1
51.19,40.36,89.82,4.22,0
42.88,60.82,140.26,1.8,0
66.98,50.12,131.42,2.59,0
32.24,84.48,119.3,1.93,0
71.18,58.76,118.4,1.2,0
91.77,107.22,1457.38,18.11,1
46.89,83.38,109.68,3.28,0
33.78,60.24,117.51,2.46,0
59.4,51.9,149.22,2.92,0
47.62,39.48,158.39,0.81,0
29.38,46.19,117.67,3.44,0
37.9,63.04,191.09,2.16,0
12.53,46.55,75.09,4.19,0
56.26,37.96,31.37,0.83,0
34.79,-7.66,65.18,-0.7,0
29.78,79.67,106.53,1.56,0
58.74,51.85,149.91,2.48,0
41.12,64.62,132.05,2.78,0
31.07,52.32,122.8,1.79,0
39.58,67.14,72.27,1.72,0
12.44,35.38,82.51,2.77,0
22.86,50.85,94.99,0.11,0
65.53,19.82,67.63,3.16,0
34.25,-12.43,136.93,3.63,0
23.04,67.11,187.4,1.26,0
29.1,43.63,201.73,1.21,0
33.93,62.33,127.89,1.58,0
40.34,38.3,120.44,3.07,0
59.47,60.52,132.22,1.78,0
51.65,25.32,118.44,2.94,0
44.93,46.72,130.67,1.64,0
38.16,48.9,124.77,1.89,0
64.79,43.86,123.71,2.34,0
64.05,33.62,95.73,1.74,0
20.88,13.6,161.82,1.32,0
71.42,51.41,1709.38,48.83,1
48.86,55.56,143.73,2.77,0
56.67,61.4,49.76,2.84,0
25.89,69.79,129.56,3.78,0
25.84,35.99,135.35,1.96,0
96.9,98.67,1534.97,33.57,1
38.75,64.5,159.45,2.96,0
42.28,94.88,122.56,3.48,1
50.93,23.27,111.93,1.58,0
43.7,35.35,52.82,2.45,0
26.02,47.63,100.83,1.6,0
95.76,100.38,1258.63,35.32,1
54.12,72.75,140.48,2.77,0
10.62,43.45,91.08,2.91,0
30.5,17.9,86.09,4.06,0
47.75,28.38,121.14,1.48,0
46.99,26.29,137.43,1.49,0
46.19,47.73,127.17,3.13,0
73.25,23.69,151.91,1.72,0
29.73,54.08,48.02,1.05,0
49.24,55.01,183.91,0.68,0
52.35,37.52,178.25,2.55,0
-0.32,78.81,50.72,1.95,0
29.95,91.06,126.64,1.46,1
30.05,81.59,45.85,1.87,0
48.99,18.49,90.66,0.91,0
51.33,61.59,125.84,1.02,0
40.85,13.2,173.02,3.21,0
36.46,32.62,83.4,1.14,0
118.86,50.35,1609.21,35.66,1
56.12,76.95,162.65,2.44,0
48.12,63.8,127.57,2.1,0
40.74,24.59,78.84,-0.37,0
17.51,59.94,145.64,2.31,0
23.72,64.12,164.79,3.04,0
40.22,52.9,197.46,3.33,0
21.87,81.16,89.44,3.36,0
17.45,60.04,200.76,0.96,0
31.58,47.56,99.69,2.99,0
42.17,75.03,143.51,-0.43,0
91.6,74.14,1538.89,13.77,1
40.9,21.64,167.32,2.73,0
44.65,16.29,124.14,2.39,0
23.81,47.98,88.3,2.25,0
37.58,12.93,84.63,2.39,0
24.55,48.01,108.99,2.22,0
26.42,21.24,147.39,2.09,0
44.34,50.43,107.79,2.47,0
47.5,73.49,106.94,1.32,0
25.32,41.18,81.71,2.91,0
58.69,57.34,150.32,3.28,0
77.76,95.32,837.5,45.76,1
52.96,24.85,112.74,0.74,0
52.62,54.29,107.89,1.94,0
45.24,50.84,132.09,3.45,0
105.48,122.11,1690.13,31.66,1
40.64,58.99,104.64,1.13,0
39.02,24.67,168.02,2.64,0
27.42,36.59,153.19,2.32,0
56.01,47.33,127.46,1.09,0
55.31,32.86,93.24,2.54,0
30.26,49.52,60.85,0.23,0
73.52,43.36,81.22,0.65,0
41.62,59.52,157.08,1.97,0
50.38,64.24,34.75,1.37,0
37.62,61.39,149.25,2.81,0
80.87,74.05,117.29,2.11,0
46.32,50.08,200.51,2.66,0
36.77,59.22,58.57,1.55,0
74.06,110.41,1015.75,47.03,1
35.16,74.54,125.77,0.54,0
27.77,69.41,145.31,2.26,0
46.48,29.13,149.42,0.1,0
7.02,63.9,140.94,1.62,0
63.6,32.34,146.64,1.65,0
38.57,38.56,150.82,1.39,0
43.41,28.17,112.04,1.76,0
33.91,35.0,98.27,2.92,0
80.1,148.87,1365.35,27.53,1
42.03,52.78,119.16,2.23,0
43.64,69.73,143.04,1.75,0
36.87,76.49,113.86,3.33,0
28.69,60.68,150.25,2.72,0
33.61,15.76,134.9,2.67,0
37.62,41.23,92.46,2.11,0
2.33,53.45,130.44,1.96,0
54.11,46.6,109.25,1.44,0
31.43,70.54,65.65,1.58,0
32.62,20.79,145.49,4.74,0
62.55,49.41,70.1,3.22,0
33.89,34.91,56.01,1.92,0
54.59,56.99,160.93,3.05,0
36.69,76.77,157.95,2.87,0
24.46,37.77,155.16,2.46,0
38.76,82.34,171.02,1.48,0
42.47,50.84,84.91,-0.08,0
52.45,55.22,43.69,2.8,0
55.72,66.42,84.42,3.42,0
28.39,37.27,169.89,1.55,0
1.36,66.87,80.93,-0.06,0
76.9,67.09,1561.18,26.61,1
36.51,34.78,116.86,2.56,0
36.78,55.39,98.28,2.59,0
45.08,65.08,89.09,2.92,0
76.6,47.41,109.09,-0.38,0
49.6,45.06,77.42,1.49,0
46.8,82.69,135.62,2.18,0
29.15,82.78,121.64,1.45,0
20.83,77.0,122.41,1.75,0
55.03,24.6,174.34,1.35,0
34.4,34.86,148.92,1.77,0
61.72,30.21,97.25,1.09,0
43.26,55.85,196.18,3.55,0
43.31,68.45,143.4,3.56,0
12.08,45.99,115.02,1.82,0
117.33,71.81,1688.52,25.24,1
91.63,95.56,1537.49,39.67,1
30.44,73.07,98.38,2.28,0
40.7,30.35,123.07,3.0,0
29.96,33.71,195.66,0.34,0
42.07,31.26,159.46,2.79,0
36.9,43.03,118.98,2.22,0
75.15,41.97,166.26,6.36,0
50.78,97.7,120.24,0.52,1
25.04,32.97,110.25,1.08,0
28.74,59.27,47.78,0.71,0
43.77,67.58,185.94,2.1,0
33.95,41.61,141.59,3.51,0
35.15,49.27,177.56,2.84,0
56.17,24.11,153.46,1.54,0
30.39,38.93,161.96,1.87,0
24.99,59.8,101.71,2.61,0
39.59,96.85,175.15,2.29,1
4.2,24.59,167.5,1.51,0
49.27,50.6,132.45,1.51,0
34.58,56.89,81.25,2.09,0
33.86,69.64,148.63,0.07,0
57.87,10.66,150.61,3.36,0
38.55,18.29,167.4,0.73,0
27.06,5.83,134.95,3.22,0
37.18,57.02,88.82,1.63,0
34.51,40.61,97.81,1.81,0
56.42,97.33,142.91,3.05,1
63.53,49.77,196.27,2.74,0
56.44,64.13,149.86,0.9,0
103.16,87.69,967.0,25.64,1
53.47,55.66,127.42,2.58,0
45.4,36.76,35.49,0.47,0
23.85,59.81,126.62,1.53,0
35.22,82.46,163.82,0.89,0
41.69,68.83,105.79,3.7,0
33.06,37.86,174.75,1.13,0
74.88,0.84,98.8,1.65,0
33.81,61.23,151.2,1.93,0
83.51,67.37,1968.35,40.81,1
88.47,114.68,1913.79,26.27,1
33.13,69.97,144.54,0.35,0
18.83,19.54,52.22,-0.06,0
35.68,36.87,73.46,0.13,0
64.77,41.38,25.7,3.76,0
79.56,71.55,1299.46,20.83,1
46.74,30.73,65.29,1.54,0
55.26,78.7,140.41,1.28,0
31.22,59.17,120.84,2.96,0
75.64,37.93,139.5,1.87,0
46.49,31.77,149.94,2.8,0
26.82,51.69,121.48,1.51,0
31.55,44.82,84.0,2.96,0
23.36,46.3,141.45,0.95,0
42.57,22.91,113.62,2.05,0
58.01,73.19,167.76,2.77,0
11.74,2.82,145.77,2.3,0
42.88,84.83,74.8,0.56,0
50.23,58.46,141.77,2.61,0
36.06,59.58,151.75,1.63,0
55.61,54.92,135.54,0.61,0
41.98,1.96,127.67,2.15,0
51.69,65.79,155.04,2.91,0
51.99,58.11,112.86,0.28,0
50.66,16.02,60.16,2.61,0
47.86,46.31,50.06,2.04,0
-0.78,39.65,93.65,2.62,0
58.84,43.79,126.07,2.08,0
32.56,48.01,165.93,3.35,0
46.45,28.74,44.69,2.69,0
36.8,65.41,54.79,3.7,0
-2.72,24.94,90.08,2.97,0
37.45,52.75,142.79,1.6,0
53.75,92.84,131.23,2.25,1
16.79,37.28,122.31,0.95,0
40.58,53.73,111.87,0.89,0
104.97,103.15,1524.94,24.74,1
26.63,44.07,108.5,1.18,0
29.77,96.29,156.37,2.44,1
29.66,52.37,164.62,1.16,0
64.42,64.56,123.55,2.13,0
73.63,37.34,64.4,2.59,0
46.7,58.72,92.1,1.94,0
78.66,96.8,177.55,3.01,1
30.59,4.51,149.48,3.94,0
52.62,53.89,163.19,0.85,0
105.11,103.59,2013.35,49.43,1
27.89,57.14,144.79,3.11,0
70.58,28.49,97.58,1.13,0
31.4,81.5,111.03,2.66,0
62.75,74.19,983.19,25.33,0
48.25,76.56,97.17,-0.36,0
25.58,56.28,49.2,0.61,0
46.0,47.6,149.09,3.49,0
54.94,51.06,90.23,1.52,0
31.29,60.75,118.63,1.66,0
33.87,13.53,121.15,2.13,0
54.68,73.65,115.92,2.2,0
40.28,41.23,55.04,2.28,0
34.47,67.98,117.65,1.49,0
64.96,37.12,189.64,1.01,0
53.44,42.86,110.91,0.15,0
58.02,23.86,123.3,-0.18,0
41.6,35.41,116.32,1.57,0
38.19,49.35,170.83,1.19,0
43.46,46.77,188.98,2.82,0
63.35,48.31,155.67,1.08,0
13.77,66.9,130.28,1.04,0
54.03,61.13,149.54,1.66,0
41.06,53.68,80.38,2.13,0
110.6,84.17,1652.77,50.16,1
44.43,14.5,125.83,3.23,0
43.26,47.58,83.05,1.46,0
47.16,53.84,202.39,3.75,0
61.05,54.0,119.83,1.81,0
26.88,85.89,99.93,1.71,0
19.67,40.16,57.51,2.13,0
37.0,50.16,185.37,2.64,0
49.88,23.63,86.51,1.61,0
38.49,80.27,158.87,2.08,0
49.42,28.35,214.51,0.36,0
59.79,65.56,31.87,1.38,0
81.19,73.65,50.52,2.33,0
35.98,3.51,138.51,0.91,0
47.17,47.27,126.66,3.48,0
63.39,89.0,94.29,1.78,0
21.46,39.04,138.47,0.55,0
32.81,37.8,82.18,1.03,0
66.73,50.1,169.39,3.21,0
65.85,42.17,141.23,0.29,0
69.55,96.68,634.76,50.16,1
80.14,85.51,1464.17,42.14,1
28.85,53.99,143.85,3.34,0
49.61,34.89,165.09,2.9,0
66.53,45.05,68.84,2.59,0
44.0,22.14,193.57,1.58,0
55.6,42.19,113.8,3.3,0
19.64,50.63,88.73,1.7,0
15.29,33.01,109.49,3.23,0
40.79,62.91,100.16,2.27,0
2.03,58.48,55.39,2.81,0
30.08,65.14,91.76,1.06,0
19.91,95.83,104.1,1.82,1
38.31,23.7,161.51,2.24,0
59.76,58.98,93.03,1.81,0
64.39,60.44,1650.74,35.54,1
41.76,52.83,131.22,1.94,0
43.05,72.63,117.01,0.97,0
76.57,66.6,113.75,2.93,0
40.47,73.18,100.78,1.15,0
40.98,50.39,91.07,2.66,0
42.56,14.14,154.31,1.48,0
44.64,38.0,157.0,2.35,0
52.59,60.91,123.93,1.88,0
1.51,48.67,145.8,0.2,0
35.36,65.51,118.65,0.79,0
31.28,83.54,119.9,-0.28,0
66.66,43.05,82.53,1.28,0
45.92,71.72,134.25,3.05,0
49.27,70.95,135.93,0.74,0
70.15,45.91,192.01,2.26,0
26.11,74.81,155.06,0.71,0
98.48,114.65,1820.46,16.7,1
19.2,69.64,60.27,2.49,0
74.48,83.84,132.71,-0.16,0
30.85,24.19,86.94,0.95,0
53.89,47.78,47.6,2.38,0
51.89,52.09,78.43,2.53,0
24.88,26.01,154.68,1.67,0
42.21,47.77,41.06,1.06,0
61.73,64.0,157.37,3.09,0
56.53,62.07,144.2,1.39,0
16.32,71.36,81.27,1.32,0
37.01,66.4,109.2,1.67,0
51.37,69.61,97.67,2.5,0
23.42,28.92,150.91,1.68,0
29.81,23.47,156.28,2.43,0
36.53,67.61,173.62,2.63,0
11.6,75.79,73.31,1.92,0
28.07,51.5,133.57,0.33,0
94.42,96.49,1412.55,35.74,1
29.25,7.53,180.8,2.02,0
38.42,33.87,159.28,2.56,0
47.31,38.21,222.55,0.41,0
